ID,First_Name,Last_Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
108,Ivan,Toney,4,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,144485,0.0
109,Hákon Rafn,Valdimarsson,5,1,0,0,2,0.00,0,2,0,144,0,1,0.00,0.00,1.49,507433,1.0
110,Yoane,Wissa,5,4,6,32,185,2.20,9,45,18,2921,0,34,18.58,20.77,45.12,216646,5.3
111,Yehor,Yarmoliuk,5,3,0,0,43,0.91,3,25,0,1435,0,15,0.62,1.53,26.43,508395,1.4
112,Mathias,Jorgensen,4,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,48760,0.0
113,Simon,Adingra,17,3,3,0,60,2.73,2,23,2,1081,0,12,2.47,5.20,18.94,535818,2.1
114,Benicio,Baker-Boaitey,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,475480,0.0
115,Carlos,Baleba,6,3,1,7,87,1.21,8,40,3,2660,1,31,3.10,4.31,39.54,535301,2.6
116,Valentín,Barco,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,543158,0.0
117,Facundo,Buonanotte,6,3,2,6,75,2.29,2,33,5,1508,0,14,4.01,6.30,29.23,536916,2.4
118,Amario,Cozier-Duberry,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,519324,0.0
119,Mahmoud,Dahoud,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,168090,0.0
120,Lewis,Dunk,6,2,1,0,44,1.02,4,42,0,2081,0,23,0.81,1.83,35.69,83299,1.8
121,Julio,Enciso Espínola,6,3,3,5,59,1.32,2,22,2,1155,0,14,2.82,4.14,22.10,474120,2.4
122,Pervis,Estupiñán Tenorio,6,2,1,7,63,2.43,3,44,1,2399,0,26,1.09,3.52,39.85,204214,2.1
123,Evan,Ferguson,6,4,0,2,27,0.65,1,7,1,368,0,3,1.13,1.78,5.65,487117,1.3
124,Billy,Gilmour,5,3,0,0,3,0.04,0,1,0,97,0,1,0.08,0.12,1.32,243568,1.5
125,Pascal,Groß,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,60307,0.0
126,Jack,Hinshelwood,6,3,3,8,89,1.50,6,30,5,1839,0,22,2.74,4.24,30.09,532529,3.4
127,Ibrahim,Osman,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,612855,0.0
128,Igor Julio,dos Santos de Paulo,6,2,0,0,18,0.25,1,17,0,959,0,10,0.05,0.30,17.21,223434,1.4
129,João Pedro,Junqueira de Jesus,7,4,6,26,126,3.10,6,28,10,1946,1,23,8.96,12.06,25.51,475168,4.7
130,Kacper,Kozłowski,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,484658,0.0
131,Tariq,Lamptey,6,2,2,1,42,0.80,2,21,2,856,0,10,0.38,1.18,15.36,232792,2.8
132,Solly,March,6,3,0,0,7,0.32,0,3,0,161,0,1,0.09,0.41,2.82,109345,0.9
133,Adrian,Mazilu,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,550141,0.0
134,James,Milner,6,3,0,0,6,0.15,1,1,0,170,0,3,0.16,0.31,1.98,15157,1.5
135,Yankuba,Minteh,6,3,5,8,102,4.99,4,33,6,1831,0,20,4.13,9.12,28.41,592031,3.2
136,Mitoma,Kaoru,6,3,5,12,145,4.03,6,40,10,2597,0,28,9.19,13.22,37.05,451340,4.0
137,Jakub,Moder,5,3,0,0,4,0.53,0,0,0,9,0,0,0.00,0.53,0.26,243505,1.0
138,Mark,O’Mahony,5,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,574402,0.0
139,Odeluga,Offiah,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,445548,0.0
140,Cameron,Peupion,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,491598,0.0
141,Jeremy,Sarmiento Morante,6,3,0,0,1,0.00,0,0,0,8,0,0,0.00,0.00,0.00,441192,1.0
142,Jason,Steele,6,1,0,1,9,0.00,1,1,0,180,0,2,0.00,0.00,1.88,49262,4.5
143,Deniz,Undav,5,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,450434,0.0
144,Jan Paul,van Hecke,6,2,1,7,87,1.41,7,47,1,2960,1,33,1.32,2.73,44.67,469142,2.6
145,Joël,Veltman,6,2,0,7,59,1.31,6,24,0,1694,0,19,0.47,1.78,24.83,111478,2.8
146,Bart,Verbruggen,6,1,1,6,103,0.01,7,58,0,3240,0,36,0.00,0.01,53.10,489639,2.9
147,Adam,Webster,6,2,1,2,39,0.28,4,11,0,885,0,11,0.25,0.53,14.26,110735,2.8
148,Danny,Welbeck,6,4,5,21,125,1.36,7,37,10,2109,0,24,9.58,10.94,37.40,50175,4.2
149,Mats,Wieffer,6,3,5,4,52,1.00,2,22,1,1003,0,10,0.80,1.80,18.89,467779,2.1
150,Andrey,Nascimento dos Santos,7,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,532605,0.0
151,Ângelo Gabriel,Borges Damaceno,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,518620,0.0
152,Kepa,Arrizabalaga Revuelta,1,1,0,7,106,0.03,8,39,0,2790,0,31,0.06,0.09,38.83,109745,3.4
153,Benoît,Badiashile Mukinayi,7,2,0,0,7,0.08,0,5,0,332,0,3,0.00,0.08,5.34,242880,1.4
154,Lucas,Bergström,6,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,482158,0.0
155,Marcus,Bettinelli,13,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,122074,0.0
156,Armando,Broja,8,4,0,0,12,0.11,2,2,0,327,0,4,0.11,0.22,3.82,440323,1.2
157,Moisés,Caicedo Corozo,7,3,4,4,98,2.82,12,42,1,3351,0,38,0.81,3.63,45.42,486672,2.6
158,Cesare,Casadei,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,505187,0.0
159,Trevoh,Chalobah,7,2,1,11,93,0.64,6,25,3,1969,0,23,1.98,2.62,27.15,180736,3.7
160,Ben,Chilwell,7,2,0,0,13,0.88,0,4,1,254,0,1,0.25,1.13,2.84,172850,1.6
161,Carney,Chukwuemeka,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,478912,0.0
162,Levi,Samuels Colwill,7,2,1,6,109,1.31,10,41,2,3150,0,35,1.92,3.23,43.52,460028,3.1
163,Marc,Cucurella Saseta,7,2,2,14,133,2.39,9,38,5,2988,1,33,2.79,5.18,39.94,179268,3.7
164,David Datro,Fofana,6,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,520295,0.0
165,Deivid Washington,de Souza Eugênio,6,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,617054,0.0
166,Kiernan,Dewsbury-Hall,7,3,1,1,18,0.22,0,3,0,257,0,2,0.22,0.44,3.88,215413,1.4
167,Axel,Disasi,2,2,0,0,33,0.37,3,12,1,851,0,9,0.37,0.74,16.70,220362,2.5
168,Enzo,Fernández,7,3,8,11,135,6.11,10,37,6,2943,0,32,6.23,12.34,38.06,448047,3.8
169,Conor,Gallagher,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,232787,0.0
170,Alfie,Gilchrist,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,514280,0.0
171,Malo,Gusto,7,2,1,2,60,1.91,4,26,0,1853,0,19,1.44,3.35,27.43,482609,1.9
172,Reece,James,7,2,2,5,54,1.15,3,14,1,1057,0,12,0.45,1.60,16.10,225796,2.8
173,Omari,Kellyman,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,549068,0.0
174,Roméo,Lavia,7,3,1,0,26,0.38,3,11,0,792,0,11,0.25,0.63,14.33,514356,1.6
175,Romelu,Lukaku Bolingoli,6,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,66749,0.0
176,Malang,Sarr,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,204727,0.0
177,Noni,Madueke,1,3,5,12,120,2.86,6,28,7,2028,0,27,9.62,12.48,29.55,248857,3.8
178,Marc,Guiu Paz,7,4,0,0,3,0.02,0,2,0,71,0,0,0.00,0.02,1.46,499309,1.0
179,Mykhailo,Mudryk,7,3,0,0,7,0.66,0,2,0,145,0,1,0.24,0.90,3.28,465920,1.0
180,Nicolas,Jackson,7,4,6,17,121,1.90,11,24,10,2220,1,28,11.68,13.58,28.47,517052,4.0
181,Christopher,Nkunku,7,3,2,5,60,1.01,2,16,3,904,0,9,5.11,6.12,16.25,213198,2.2
182,Cole,Palmer,7,3,10,35,214,9.53,10,41,15,3193,0,36,16.79,26.32,43.88,244851,5.8
183,Đorđe,Petrović,4,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,457569,0.0
184,Renato,Palma Veiga,6,3,0,0,7,0.15,1,2,0,176,0,1,0.16,0.31,3.17,551230,1.0
185,Robert,Lynch Sánchez,7,1,0,11,126,0.02,10,34,0,2880,0,32,0.00,0.02,38.55,215059,3.9
186,Raheem,Sterling,1,3,2,0,26,0.48,1,4,0,490,0,7,1.43,1.91,4.33,103955,1.5
187,Tosin,Adarabioyo,7,2,1,7,71,0.23,7,14,1,1403,0,15,0.93,1.16,19.62,109646,3.2
188,Lesley,Ugochukwu,17,3,1,3,47,0.62,1,39,1,1652,0,18,0.85,1.47,40.28,503714,1.8
189,Wesley,Fofana,7,2,0,2,26,0.18,2,13,0,1172,0,14,0.44,0.62,14.76,444463,1.9
190,Naouirou,Ahamada,8,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,466117,0.0
191,Joachim,Andersen,10,2,0,3,51,0.57,4,47,0,2673,1,30,1.04,1.61,37.85,174874,1.7
192,Jordan,Ayew,11,3,0,3,75,1.50,4,42,5,1649,0,19,3.72,5.22,30.33,80146,2.4
193,Cheick,Doucouré,8,3,1,0,19,0.11,1,6,0,443,0,4,0.40,0.51,7.53,438464,1.5
194,Chris,Richards,8,2,1,2,68,0.60,7,31,1,1921,1,22,1.33,1.93,29.78,427623,2.8
195,Chadi,Riad Dnanou,8,2,0,0,1,0.02,0,2,0,90,0,1,0.00,0.02,1.39,515621,1.0
196,Nathaniel,Clyne,8,2,0,0,18,0.24,1,11,0,477,0,5,0.02,0.26,10.11,57328,1.4
197,Malcolm,Ebiowei,8,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,450535,0.0
198,Odsonne,Édouard,8,4,0,0,7,0.07,0,3,0,141,0,1,0.39,0.46,3.72,199670,1.2
199,Eberechi,Eze,8,3,8,15,148,4.67,10,34,8,2588,0,31,10.39,15.06,35.03,232413,4.4
200,Marc,Guéhi,8,2,2,11,116,2.01,11,42,3,3059,1,34,1.87,3.88,41.55,209036,3.4
201,Dean,Henderson,8,1,0,8,135,0.02,11,51,0,3420,0,38,0.01,0.03,50.33,172649,3.6
202,Rob,Holding,8,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,156074,0.0
203,Will,Hughes,8,3,4,3,67,2.64,10,31,0,2100,0,24,1.09,3.73,31.64,108413,2.0
204,Sam,Johnstone,20,1,0,0,12,0.00,0,17,0,630,0,7,0.00,0.00,12.98,101982,1.7
205,Daichi,Kamada,8,3,0,0,45,1.55,3,27,0,1545,1,15,1.12,2.67,25.74,209400,1.3
206,Jefferson,Lerma Solís,8,3,1,2,58,1.75,6,36,0,2270,0,26,1.07,2.82,33.55,152551,1.8
207,Jean-Philippe,Mateta,8,4,2,27,150,2.28,9,37,14,2642,0,33,13.77,16.05,37.94,231747,4.1
208,Matheus,França de Oliveira,8,3,0,0,9,0.18,0,0,1,52,0,0,0.28,0.46,0.40,536694,2.2
209,Remi,Matthews,8,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,169593,0.0
210,Tyrick,Mitchell,8,2,6,4,123,3.67,12,46,0,3090,0,37,1.31,4.98,46.45,244723,3.3
211,Daniel,Muñoz Mejía,8,2,6,9,142,3.46,11,46,4,3229,0,37,4.92,8.38,46.30,247348,3.8
212,David,Ozoh,8,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,531989,0.0
213,Jesurun,Rak-Sakyi,8,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,450542,0.0
214,Jeffrey,Schlupp,7,3,0,0,12,0.14,0,3,0,95,0,0,0.17,0.31,1.53,86417,1.0
215,Joel,Ward,7,2,0,0,1,0.01,0,2,0,71,0,1,0.00,0.01,1.57,55494,0.5
216,Adam,Wharton,8,3,2,0,42,2.17,4,21,0,1314,0,16,0.38,2.55,19.34,496221,2.1
217,Abdoulaye,Doucouré,8,3,2,5,94,1.41,11,33,3,2563,1,31,4.15,5.56,34.38,121599,2.8
218,Norberto Bercique,Gomes Betuncal,9,4,0,11,87,0.44,4,24,8,1521,0,15,7.89,8.33,18.80,486385,2.9
219,Jarrad,Branthwaite,9,2,1,3,88,0.61,9,28,0,2509,0,28,1.20,1.81,29.83,480455,2.9
220,Dominic,Calvert-Lewin,8,4,2,3,63,0.63,8,18,3,1602,0,19,6.53,7.16,24.83,177815,2.4
221,Séamus,Coleman,9,2,0,0,5,0.03,0,4,0,214,0,3,0.62,0.65,4.45,59949,1.0
222,Idrissa Gana,Gueye,9,3,3,5,89,1.99,12,39,0,3063,0,35,1.15,3.14,39.88,80801,2.4
223,James,Garner,9,3,1,0,42,1.37,5,19,0,1590,0,17,0.67,2.04,19.71,232928,2.0
224,Jack,Harrison,11,3,3,4,81,3.12,7,27,1,2068,0,24,3.54,6.66,31.23,221399,2.4
225,Mason,Holgate,8,2,0,0,1,0.00,0,1,0,5,0,0,0.00,0.00,0.07,194164,1.0
226,Tim,Iroegbunam,9,3,1,0,22,0.14,0,16,0,562,0,5,0.23,0.37,12.25,490094,1.2
227,João,Neves Virgínia,8,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,222627,0.0
228,Michael,Keane,9,2,0,4,48,0.02,3,20,3,1046,0,11,0.61,0.63,19.16,106611,3.4
229,Neal,Maupay,8,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,115382,0.0
230,Dwight,McNeil,9,3,8,9,93,4.49,5,24,4,1366,0,15,1.05,5.53,21.12,433154,4.4
231,Vitalii,Mykolenko,9,2,3,9,121,2.12,11,39,1,3082,0,35,0.48,2.60,39.81,224967,3.5
232,Iliman,Ndiaye,9,4,0,21,114,1.36,15,24,9,2426,0,29,6.23,7.59,29.01,440993,3.5
233,Amadou,Onana,2,3,0,5,65,0.84,6,23,3,1613,0,20,2.12,2.96,23.66,449871,2.5
234,Nathan,Patterson,9,2,1,0,14,0.38,0,6,0,342,0,3,0.07,0.45,4.48,243571,1.4
235,Jordan,Pickford,9,1,1,15,158,0.22,12,44,0,3420,0,38,0.00,0.22,46.11,111234,4.2
236,James,Tarkowski,9,2,1,8,105,2.33,10,38,1,2922,0,33,1.32,3.65,39.30,17761,3.2
237,Youssef,Ramalho Chermiti,9,4,0,0,3,0.00,0,0,0,42,0,0,0.11,0.11,0.47,491012,0.8
238,Ashley,Young,8,2,4,9,98,2.87,9,23,1,1864,1,19,0.27,3.14,26.17,18892,3.1
239,Adama,Traoré Diarra,10,3,8,8,95,4.61,3,28,2,1756,0,18,4.11,8.72,25.17,159533,2.6
240,Andreas,Hoelgebaum Pereira,10,3,6,2,81,4.63,5,32,2,2004,0,25,4.24,8.87,27.35,156689,2.5
241,Calvin,Bassey,10,2,0,0,75,0.42,5,47,1,3074,0,34,1.02,1.44,39.22,232892,2.1
242,Steven,Benda,10,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,428971,0.0
243,Tom,Cairney,10,3,0,0,33,1.14,1,12,2,610,1,3,0.73,1.87,9.59,76357,1.3
244,Timothy,Castagne,10,2,1,0,46,0.56,3,28,0,1642,0,17,0.38,0.94,22.39,166477,1.9
245,Issa,Diop,10,2,0,0,31,0.07,1,19,0,1334,0,15,0.51,0.58,19.98,219924,1.5
246,Luke,Harris,10,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,515024,0.0
247,Alex,Iwobi,10,3,6,16,156,6.90,6,45,9,2981,0,35,4.33,11.23,38.06,153133,4.1
248,Bernd,Leno,10,1,2,5,115,0.03,5,54,0,3420,0,38,0.00,0.03,47.75,80201,3.0
249,Saša,Lukić,10,3,2,1,56,1.40,4,37,0,2348,0,28,1.16,2.56,33.02,212314,1.9
250,Kevin,Mbabu,9,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,120721,0.0
251,Rodrigo,Muniz Carvalho,10,4,1,14,86,0.20,2,17,8,943,0,8,5.91,6.11,15.28,244042,2.8
252,Raúl,Jiménez Rodríguez,10,4,3,26,147,2.07,7,37,12,2486,0,30,11.97,14.04,33.49,102057,3.9
253,Tim,Ream,9,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,82514,0.0
254,Harrison,Reed,10,3,0,0,10,0.09,0,3,0,100,0,0,0.23,0.32,4.62,153366,0.8
255,Antonee,Robinson,10,2,10,8,106,4.17,5,49,0,3166,0,35,0.70,4.87,44.79,169528,2.9
256,Jay,Stansfield,9,4,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.67,490146,1.0
257,Kenny,Tete,10,2,2,0,49,0.65,3,26,0,1773,0,21,1.37,2.02,25.50,167074,2.2
258,Carlos Vinícius,Alves Morais,9,4,0,0,3,0.00,0,1,0,13,0,0,0.06,0.06,0.11,245824,1.0
259,Harry,Wilson,10,3,2,6,78,1.17,2,21,6,1148,0,12,4.19,5.36,16.22,153682,3.1
260,Ali,Al-Hamadi,10,4,0,0,8,0.04,0,5,0,125,0,0,0.35,0.39,3.84,462387,0.7
261,Elkan,Baggott,10,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,517178,0.0
262,Nathan,Broadhead,10,3,0,1,37,1.05,2,12,2,690,0,7,1.74,2.79,11.72,173818,2.1
263,Cameron,Burgess,10,2,2,0,26,0.34,0,37,0,1540,0,16,1.08,1.42,35.17,122411,1.4
264,Wes,Burns,10,3,1,0,30,1.17,1,23,0,922,0,12,0.50,1.67,23.62,149929,1.7
265,Conor,Chaplin,10,3,2,0,41,0.61,1,19,1,845,0,10,1.52,2.13,17.93,196411,1.9
266,Harry,Clarke,10,2,0,0,1,0.10,0,10,0,377,1,4,0.08,0.18,9.10,232228,0.1
267,Leif,Davis,10,2,2,5,52,4.74,2,71,1,2742,1,32,0.98,5.72,60.70,455084,1.6
268,Liam,Delap,7,4,2,22,132,1.38,3,58,12,2587,0,32,9.44,10.82,53.60,463034,3.6
269,George,Edmundson,10,2,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.00,214964,1.0
270,Jacob,Greaves,10,2,0,0,37,0.21,2,53,1,2205,0,25,1.31,1.52,45.51,449429,1.5
271,Marcus,Myers-Harness,10,3,0,0,2,0.05,0,2,0,43,0,0,0.00,0.05,1.36,167191,1.0
272,George,Hirst,10,4,1,3,46,0.24,0,16,3,645,0,5,2.14,2.38,15.41,222625,1.8
273,Cameron,Humphreys,10,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,524180,0.0
274,Omari,Giraud-Hutchinson,10,3,3,6,88,2.46,3,61,3,2585,0,30,2.93,5.39,51.04,503301,2.8
275,Ben,Johnson,10,2,2,2,30,0.83,0,39,1,1346,1,14,1.06,1.89,37.89,222018,1.3
276,Freddie,Ladapo,10,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,94926,0.0
277,Massimo,Luongo,10,3,0,0,13,0.01,0,6,0,195,0,2,0.00,0.01,6.84,106606,1.2
278,Sam,Morsy,10,3,1,5,67,1.51,2,67,1,2749,0,31,0.45,1.96,58.21,74944,2.0
279,Corrie,Ndaba,10,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,246265,0.0
280,Cieran,Slicker,10,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,434044,0.0
281,Jack,Taylor,10,3,0,1,38,0.77,0,21,1,837,0,4,0.75,1.52,16.28,231899,1.2
282,Axel,Tuanzebe,3,2,1,0,27,0.26,1,38,0,1710,1,20,0.21,0.47,32.01,180804,1.2
283,Christian,Walton,10,1,0,2,16,0.00,1,19,0,630,0,7,0.00,0.00,13.88,108813,2.3
284,Luke,Woolfenden,10,2,0,0,18,0.02,1,28,0,1187,0,12,0.03,0.05,26.46,220583,1.2
285,Boubakary,Soumaré,11,3,0,0,48,0.94,1,52,0,2165,0,25,0.29,1.23,46.48,225902,1.5
286,Tom,Cannon,11,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,461416,0.0
287,Hamza,Choudhury,11,3,0,0,4,0.19,0,5,0,129,0,1,0.00,0.19,5.28,197469,1.0
288,Conor,Coady,11,2,0,3,39,0.48,2,42,1,1712,0,19,0.52,1.00,38.75,94147,1.8
289,Patson,Daka,11,4,0,2,34,0.06,1,16,1,717,0,6,1.25,1.31,17.37,245419,1.5
290,Bobby,De Cordova-Reid,11,3,4,2,48,0.14,1,17,1,734,0,9,0.79,0.93,14.61,96994,2.1
291,Wout,Faes,11,2,0,2,55,0.40,3,63,1,2812,0,30,1.52,1.92,58.54,218218,1.6
292,Michael,Golding,11,3,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.00,549640,1.0
293,Mads,Hermansen,11,1,0,1,63,0.02,1,58,0,2385,0,27,0.00,0.02,55.09,467189,2.3
294,Daniel,Iversen,11,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,207270,0.0
295,James,Justin,11,2,2,6,70,0.80,3,68,2,2912,0,34,1.47,2.27,63.68,220627,1.9
296,Victor,Kristiansen,11,2,1,0,34,1.74,1,62,0,2481,0,29,0.13,1.87,54.38,481510,1.1
297,Wanya,Marçal-Madivádua,11,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,461584,0.0
298,Stephy,Mavididi,11,3,1,5,72,3.25,1,38,4,1606,0,16,1.85,5.10,36.71,154048,2.4
299,Kasey,McAteer,11,3,1,0,35,0.63,3,16,1,846,0,9,0.99,1.62,20.07,461587,1.9
300,Wilfred,Ndidi,11,3,5,1,64,1.53,3,48,0,2325,0,28,2.12,3.65,49.32,203341,2.3
301,Caleb,Okoli,11,2,0,1,27,0.17,1,26,1,1122,0,12,0.62,0.79,27.72,473341,1.4
302,Ricardo,Barbosa Pereira,11,2,0,0,10,0.07,0,8,0,382,0,4,0.09,0.16,7.12,111931,1.0
303,Harry,Souttar,11,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,194190,0.0
304,Jakub,Stolarczyk,11,1,0,0,25,0.00,2,16,0,900,0,10,0.00,0.00,14.83,436680,2.5
305,Luke,Thomas,11,2,0,0,27,0.49,3,23,0,1109,0,13,0.36,0.85,25.08,244619,1.9
306,Jamie,Vardy,11,4,5,18,128,2.55,4,68,9,2825,0,35,11.23,13.78,63.10,101668,3.7
307,Jannik,Vestergaard,11,2,0,0,11,0.08,0,35,0,1390,0,16,0.11,0.19,25.05,93100,0.6
308,Danny,Ward,11,1,0,0,2,0.00,0,6,0,135,0,1,0.00,0.00,3.35,95463,1.0
309,Harry,Winks,11,3,2,0,40,1.53,0,34,0,1536,0,17,0.23,1.76,29.48,157668,1.8
310,Alisson,Becker,12,1,0,9,112,0.20,10,29,0,2508,0,28,0.00,0.20,27.10,116535,4.0
311,Trent,Alexander-Arnold,12,2,7,13,148,7.20,12,25,3,2362,0,28,1.81,9.01,21.67,169187,4.5
312,Stefan,Bajčetić Maquieira,12,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,535928,0.0
313,Conor,Bradley,12,2,2,3,41,1.43,3,10,0,744,0,7,0.70,2.13,12.40,492777,2.2
314,Fábio,Freitas Gouveia Carvalho,5,3,1,1,35,0.54,0,14,2,443,0,3,2.49,3.03,11.46,244858,1.8
315,Bobby,Clark,12,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,491970,0.0
316,Darwin,Núñez Ribeiro,12,4,3,6,66,0.51,2,21,5,1113,0,8,5.76,6.27,16.85,447203,2.2
317,Diogo,Teixeira da Silva,12,3,4,4,87,1.09,7,12,6,1182,0,14,7.98,9.07,11.75,194634,3.3
318,Ben,Doak,12,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,496208,0.0
319,Harvey,Elliott,12,3,2,3,33,0.64,0,6,1,359,0,2,1.78,2.42,6.14,444884,1.8
320,Endo,Wataru,12,3,0,0,21,0.09,0,5,0,259,0,1,0.00,0.09,4.25,158983,1.1
321,Cody,Gakpo,12,4,5,22,127,3.76,5,25,10,1921,0,23,7.12,10.87,21.51,243298,3.6
322,Joe,Gomez,12,2,0,0,14,0.09,1,8,0,517,0,6,0.33,0.42,5.38,171287,1.6
323,Ryan,Gravenberch,12,3,4,1,92,3.50,14,35,0,3160,1,37,1.13,4.63,33.06,441266,2.5
324,Curtis,Jones,12,3,5,4,87,1.46,6,27,3,1702,1,19,4.34,5.80,23.35,206915,2.6
325,Caoimhín,Kelleher,5,1,0,1,45,0.00,4,12,0,900,0,10,0.00,0.00,11.09,200720,4.5
326,Ibrahima,Konaté,12,2,2,4,106,0.91,11,28,1,2561,0,30,1.80,2.71,26.67,204716,3.4
327,Luis,Díaz Marulanda,12,3,7,21,183,4.34,15,21,13,2393,0,28,11.90,16.24,24.44,244731,5.1
328,Mohamed,Salah,12,3,18,55,344,8.99,15,40,29,3374,0,38,24.70,33.69,37.83,118748,9.1
329,Alexis,Mac Allister,12,3,6,8,122,5.57,14,24,5,2597,0,30,2.89,8.46,24.21,243016,3.5
330,James,McConnell,12,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,491501,0.0
331,Tyler,Morton,12,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,440148,0.0
332,Nathaniel,Phillips,12,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,197464,0.0
333,Jarell,Quansah,12,2,0,0,9,0.18,0,12,0,488,0,4,0.10,0.28,10.38,441428,0.7
334,Rhys,Williams,12,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,219937,0.0
335,Andrew,Robertson,12,2,1,4,91,4.27,10,32,0,2479,1,29,1.12,5.39,26.90,122798,2.8
336,Dominik,Szoboszlai,12,3,10,14,143,6.06,12,29,6,2485,0,29,6.94,13.00,26.78,424876,4.0
337,Konstantinos,Tsimikas,12,2,1,3,43,2.32,4,8,0,829,0,9,0.39,2.71,9.03,214285,2.4
338,Sepp,van den Berg,5,2,1,1,62,0.52,5,49,0,2584,0,29,2.09,2.61,44.61,444765,2.0
339,Virgil,van Dijk,12,2,1,8,143,0.98,14,38,3,3330,0,37,2.22,3.20,36.13,97032,3.9
340,Manuel,Akanji,13,2,0,1,61,1.30,6,28,0,2012,0,23,1.57,2.87,29.72,211975,2.3
341,Nathan,Aké,13,2,0,0,25,0.17,3,11,0,677,0,8,0.22,0.39,13.44,126184,2.5
342,Bernardo,Mota Veiga de Carvalho e Silva,13,3,4,13,110,4.56,10,36,4,2667,0,29,3.84,8.40,39.68,165809,3.3
343,Oscar,Bobb,13,3,0,0,3,0.02,0,1,0,14,0,0,0.00,0.02,0.47,477555,1.0
344,Scott,Carson,13,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,17601,0.0
